,Temp,TGA,DrTGA,vel_cal
12543,697.0242920000001,5.682871,-0.00234,15
12544,,,,15
12545,720.501465,5.178966,-0.000911,5
12546,384.692963,11.112185,-0.001856,15
12547,741.221405,4.968562,3.8e-05,5
12548,915.946167,4.423059,-0.001037,10
12549,1173.0771479999999,2.889304,-0.00066,5
12550,302.19294,11.553619,9.9e-05,10
12551,709.559326,5.28727,-0.00053,5
12552,468.299896,10.449913,-0.000469,5
12553,828.889282,4.509681,-0.000289,5
12554,574.7021480000001,7.477533,-0.003583,5
12555,309.157627,11.242201,0.000268,5
12556,437.916183,10.652491,-0.00023,5
12557,1115.9888919999999,3.270652,-0.000531,5
12558,849.826538,4.595385,-0.000742,15
12559,973.926025,4.1366,-0.00013,15
12560,764.004944,4.806607,-6.8e-05,5
12561,808.727051,4.818327,-0.001068,10
12562,909.130615,4.461664,-0.000909,10
12563,549.23764,9.152541,-0.00567,10
12564,466.554016,10.469532,-0.00051,5
12565,1033.0120849999998,3.70317,0.00025,5
12566,522.147278,10.035681,-0.005411,15
12567,499.712799,9.990973,-0.001591,5
12568,816.182678,4.550406,-7e-05,5
12569,1143.723999,3.096293,-0.001199,5
12570,378.434158,11.220827,-0.001175,10
12571,474.56706199999996,10.780485,-0.001426,10
12572,336.561295,11.506512,-0.000295,10
12573,1022.960205,3.747108,-0.000352,5
12574,531.1260070000001,9.14708,-0.002662,5
12575,583.582855,7.131798,-0.002902,5
12576,789.929199,4.826534,-0.001461,15
12577,618.5466309999999,6.373195,-0.001202,5
12578,1104.9901730000001,3.830739,-0.001111,15
12579,755.788361,4.861059,-0.0005,5
12580,967.7476810000001,4.179901,-0.000726,10
12581,992.116638,3.849706,-0.000323,5
12582,783.8446349999999,4.698125,-0.00014,5
12583,1125.574646,3.677453,-0.000651,10
12584,673.66098,5.956637,-0.003401,15
12585,1157.3961789999998,3.665774,-0.000391,15
12586,438.97531100000003,10.988912,-0.000765,10
12587,402.425568,10.761781,0.000221,5
12588,1156.3740229999999,3.005796,-0.000871,5
12589,1174.814941,2.880206,-0.000735,5
12590,650.4886779999999,6.290555,-0.001628,10
12591,892.228271,4.27749,-0.000296,5
12592,1100.437195,3.361523,-0.001052,5
12593,752.316071,4.879371,-0.000561,5
12594,971.932129,3.917261,-0.00039,5
